title,author,lent_by,lent_since,lent_times,year,catalogued,location,excerpt
Dreadful Saga of the Wizards,High Wizard of Unseen Michelle Jennings,Emily Paul,year -468 in the 12th month,2,The 4th year after Prawn,year 0790 in the 5th month,Tower of Art: bottom shelve. 11m from the start,Least stand able north enough.
Peculiar Tale of the Disc,Principal Witch Emily Chan,Cynthia Black,year 0111 in the 12th month,5,The 7th year after Guild Wars,year 0165 in the 10th month,Dungeon Dimensions: top shelve. 2m from the start,Thousand majority quickly.
Enchanted Recital of the Death,Professor Dr. Ryan Reyes,Ronald Mueller,year -363 in the 11th month,8,The 14th year after Howondaland Expedition,year 0779 in the 10th month,Great Hall: top shelve. 1m from the end,High school fund also college debate.
Unimaginable Legend of the Clacks,Benjamin King,,,1,The 4th year after Golem Uprising,year -314 in the 10th month,Great Hall: middle shelve. 15m from the end,Heart save then sell.
Astounding Adventure in Ankh-Morpork,High Wizard of Unseen Jason Lewis,,,2,The year of Klatchian Coffee,year 0685 in the 7th month,Restricted Section: bottom shelve. 7m from the end,Remember avoid from tend lot.
Ludicrous Parable of the Golems,Principal Witch Cindy Adams,Paul Cox,year 0075 in the 7th month,42,The 12th year after Talking Dog,year 0104 in the 4th month,Mended Drum: top shelve. 13m from the start,Another picture occur game.
Bizarre Revelation of the Patrician,Crystal Richardson,Lisa Jackson,year -385 in the 7th month,1,The 7th year after Imp-powered Devices,year -384 in the 11th month,Mended Drum: top shelve. 1m from the start,Any expert feeling person represent film seek anyone.
Remarkable Mystery of the Counterweight Continent,Imperial Assassin Deborah Pineda,Alexis Williams,year -414 in the 7th month,42,The 11th year after Seamstress's Secrets,year -384 in the 8th month,Great Hall: middle shelve. 13m from the start,Education eat water wind compare.
Spectacular Yarn of the Golems,Professor Misty Jones,,,6,The 3rd year after Mended Drum,year 0991 in the 3rd month,Great Hall: middle shelve. 14m from the end,Century machine skin western anyone strategy field.
Frightening Parable of the Golems,Professor Michelle Lowe,,,4,The 12th year after Seamstress's Secrets,year -389 in the 4th month,Mended Drum: middle shelve. 10m from the end,Perform believe of nation rock do serve support.
Fanciful Saga in Ankh-Morpork,Imperial Assassin Robert Campbell,Julie Smith,year 0678 in the 3rd month,3,The 14th year after Hogswatch Miracle,year 0720 in the 4th month,Dungeon Dimensions: top shelve. 1m from the start,Three inside send go who.
Frightening Anecdote of the Wizards,Professor Roy Cross,Jerry Archer,year -432 in the 6th month,1,The 13th year after Sentient Luggage,year -207 in the 7th month,Tower of Art: middle shelve. 10m from the start,Write main point.
Incredible Fantasy of the Golems,Supreme Archchancellor Julie Reynolds,,,8,The 9th year after Seamstress's Guild,year 0139 in the 7th month,Dungeon Dimensions: middle shelve. 7m from the end,Anything company personal box cold us.
Fantastical Journey of the Disc,Foremost Patrician Adam Alexander,Matthew Nicholson,year -398 in the 5th month,6,The 6th year after Imp-powered Devices,year -241 in the 9th month,Great Hall: middle shelve. 2m from the end,Coach task newspaper several make.
Perilous Saga of the Patrician,Foremost Patrician Sarah Thompson,,,2,The year of Quantum Weather Butterflies,year 0439 in the 7th month,Tower of Art: middle shelve. 12m from the start,As environment effect ok act.
Fantastical Journey of the City Watch,Imperial Assassin Matthew Moore,Theresa Miller,year -405 in the 7th month,2,The 8th year after Tin Trunk,year 0613 in the 3rd month,Tower of Art: top shelve. 7m from the end,Perform everything business.
Enigmatic Parable of the Agatean Empire,Principal Witch Danny Ryan,,,7,The 4th year after Knurd,year 0775 in the 5th month,Great Hall: middle shelve. 6m from the start,Figure happy reveal away everyone yard.
Dauntless Episode of the Patrician,Jeffrey Garcia,,,4,The 3rd year after Seamstress's Secrets,year -171 in the 2nd month,Restricted Section: bottom shelve. 5m from the start,Mrs recent begin outside spend manage scene.
Majestic Exploit of the Death,Mastermagician Robert Gilmore,Tina Miller,year -169 in the 7th month,7,The 7th year after Amazing Maurice,year -119 in the 11th month,Restricted Section: bottom shelve. 5m from the end,Series safe within attorney success own stand main.
Ludicrous Chronicle of the Counterweight Continent,Supreme Archchancellor Mariah Perkins,,,6,The 2nd year after Octarine Sunset,year 0656 in the 7th month,Mended Drum: bottom shelve. 10m from the start,New drive where mission challenge.
Remarkable Quest of the Patrician,Senior Guildmaster John Garza,Michelle Davis,year -121 in the 10th month,9,The 11th year after Quantum Weather Butterflies,year 0925 in the 8th month,Restricted Section: bottom shelve. 10m from the start,See tree fall director.
Fantastical Parable of the Wizards,Chief Scrivener Jessica Cooper,,,2,The 2nd year after Crystal Goblins,year 0080 in the 5th month,Mended Drum: middle shelve. 2m from the start,Smile same experience necessary present.
Fantastical Episode of the Trolls,Mr. Ivan Mullen,,,42,The 6th year after Cabbage,year 0600 in the 8th month,Tower of Art: middle shelve. 8m from the end,Lay hospital because them population.
Mysterious Expedition of the Dungeon Dimensions,Foremost Patrician Olivia Riley,Allison Rangel,year -372 in the 7th month,3,The 10th year after Quantum Weather Butterflies,year 0266 in the 9th month,Tower of Art: middle shelve. 2m from the end,Remain myself white arm court wall.
Perilous Tale of the City Watch,Eminent Thief Tony Webb,Lynn Duffy,year -301 in the 7th month,3,The 4th year after Crystal Goblins,year 0144 in the 1st month,Mended Drum: bottom shelve. 3m from the end,Civil spend discover worry.
Spectacular Chronicle of the Clacks,Todd Jackson,,,42,The 2nd year after Patrician's Eyebrow,year -361 in the 4th month,Dungeon Dimensions: top shelve. 9m from the end,Serious program almost fund make.
Unbelievable Episode of the Hogfather,Eminent Thief Katherine King,,,3,The 7th year after Sentient Luggage,year 0321 in the 3rd month,Dungeon Dimensions: top shelve. 7m from the start,Actually few town entire.
Bewitching Saga of the City Watch,High Wizard of Unseen Kenneth Casey,,,8,The 11th year after Knurd,year 0798 in the 3rd month,Dungeon Dimensions: middle shelve. 10m from the start,Stock former affect particular.
Eccentric Escapade of the Trolls,Mastermagician Shelley Marquez,,,5,The 11th year after Talking Dog,year 0069 in the 6th month,Great Hall: bottom shelve. 9m from the end,Performance above give know.
Amazing Lore of the Disc,Foremost Patrician Deborah Conley,Jeffrey Wyatt,year -151 in the 6th month,4,The 5th year after Assassin's Guild,year 0580 in the 4th month,Great Hall: bottom shelve. 10m from the start,Husband mouth quite explain right work.
Majestic Chronicle of the Patrician,Lead Alchemist Brian Burgess,,,0,The 1st year after Hogswatch Miracle,year 0144 in the 10th month,Restricted Section: middle shelve. 3m from the end,Night discussion minute piece with.
Illustrious Lore of the Hogfather,Mastermagician Andrew Martin,Brian Parker,year 0601 in the 12th month,4,The 11th year after Knurd,unknown,Restricted Section: top shelve. 5m from the end,Role final determine.
Glorious Illusion of the Clacks,Professor Maria Patterson,,,7,The 3rd year after Patrician's Eyebrow,year 0191 in the 7th month,Mended Drum: middle shelve. 9m from the start,Last interest campaign explain.
Frightening Narrative of the Dungeon Dimensions,Eminent Thief Blake Holland,Jessica Woods,year -174 in the 7th month,1,The 12th year after Prawn,year -155 in the 8th month,Dungeon Dimensions: top shelve. 5m from the start,Lay clear play.
Remarkable Myth of the Death,Principal Witch Lisa Patterson,,,3,The 1st year after Imp-powered Devices,year 0547 in the 4th month,Mended Drum: bottom shelve. 4m from the end,Different happen work easy clearly improve onto.
Dreadful Recital of the Rincewind,Imperial Assassin Jessica Randolph,Austin Jordan,year 0662 in the 1st month,1,The 3rd year after Hogswatch Miracle,year 0674 in the 8th month,Restricted Section: middle shelve. 6m from the end,That interview show arm job nature.
Majestic Furlough of the Hogfather,Supreme Archchancellor Jillian Johnson,Steve Cox,year 0598 in the 8th month,5,The 8th year after Librarian's Wrath,year 0754 in the 9th month,Great Hall: bottom shelve. 2m from the end,Month resource whatever for factor program section.
Phantasmal Romance of the Golems,Mastermagician Karen Greene,,,7,The 1st year after Wizzard's Hat,year 0323 in the 5th month,Mended Drum: bottom shelve. 15m from the start,Enjoy detail for generation.
Unbelievable Odyssey of the Unseen University,Chief Scrivener James Conrad,,,7,The 3rd year after Tin Trunk,year 0881 in the 2nd month,Mended Drum: middle shelve. 14m from the end,Travel anyone within game attention bit cold.
Hilarious Illusion of the Dungeon Dimensions,Foremost Patrician Jessica Thompson,Michael Ross,year 0045 in the 7th month,6,The year of Talking Dog,year 0379 in the 7th month,Dungeon Dimensions: middle shelve. 13m from the end,Happen husband listen bar eye.
Astounding Adventure of the Patrician,High Wizard of Unseen Alicia Bond,,,1,The year of Turtle Moves,year -291 in the 11th month,Great Hall: middle shelve. 14m from the end,Feeling eye structure short parent billion.
Ridiculous Journey of the Death,David Martinez,,,2,The 10th year after Lancre Coven,year 0038 in the 6th month,Mended Drum: middle shelve. 5m from the start,Relate news value by performance individual.
Phantasmal Escapade of the Dungeon Dimensions,Professor Sarah Hernandez,Lisa Hill,year -426 in the 7th month,6,The 10th year after Invisible College,year -347 in the 7th month,Dungeon Dimensions: top shelve. 11m from the start,Card win so opportunity democratic drop.
Perilous Furlough of Magic,Cindy Copeland,Bryce Phillips,year -305 in the 7th month,9,The 9th year after Bursar's Sanity,year 0863 in the 8th month,Dungeon Dimensions: middle shelve. 3m from the end,Relate yourself she short industry agree current.
Fanciful Saga of the Golems,Foremost Patrician Rodney Michael,Benjamin Shaw,year -473 in the 5th month,6,The 7th year after Golem Uprising,year -360 in the 7th month,Restricted Section: top shelve. 2m from the start,Head particular side anyone beyond finally.
Eccentric Chronicle of the Nac Mac Feegle,Kenneth Hutchinson,Bryan Zimmerman,year -411 in the 7th month,0,The 3rd year after Howondaland Expedition,year 0377 in the 11th month,Mended Drum: top shelve. 4m from the start,Behind hair add together remain other.
Improbable Adventure of the Death,Foremost Patrician Jackie Sanders,Kimberly Wright,year -480 in the 7th month,3,The 5th year after Seamstress's Secrets,year -474 in the 4th month,Tower of Art: bottom shelve. 10m from the end,Agree just turn stuff tax myself claim.
Stupendous Adventure of the Counterweight Continent,Nicole Park,,,6,The 13th year after Magic Bananas,year 0545 in the 7th month,Great Hall: top shelve. 15m from the end,Worker inside wear amount father artist such traditional.
Amazing Yarn of the Golems,Professor Wayne Garcia,,,1,The 9th year after Bursar's Sanity,year 0221 in the 12th month,Tower of Art: top shelve. 7m from the end,Too take decade another choice know board.
Enigmatic Narrative of the Dungeon Dimensions,High Wizard of Unseen Amanda Campbell,Megan Carter,year 0679 in the 7th month,5,The 5th year after Howondaland Expedition,year 0948 in the 7th month,Dungeon Dimensions: top shelve. 10m from the start,Write hair job collection.
Enchanted Recital of the Wizards,Lead Alchemist Keith Sherman,William Rodriguez,year 0172 in the 7th month,6,The 4th year after Golem Uprising,year 0373 in the 3rd month,Restricted Section: middle shelve. 6m from the start,Send entire leave attorney everybody marriage page response.
Delightful Expedition of the Counterweight Continent,Donald Parks,,,8,The 7th year after Prawn,year 0683 in the 10th month,Restricted Section: middle shelve. 5m from the end,Health even return firm hospital special because.
Mysterious Fable of Magic,Foremost Patrician Charles Williams,Laura Anderson,year -359 in the 7th month,42,The 7th year after Guild Wars,year -341 in the 7th month,Mended Drum: bottom shelve. 11m from the end,Region loss machine today ten assume professional.
Spectacular Chronicle of the Dungeon Dimensions,Sheila Boyer,Anthony Campbell,year -222 in the 7th month,4,The 7th year after Hedgehog,year -148 in the 1st month,Dungeon Dimensions: top shelve. 12m from the start,Significant language huge religious.
Enigmatic Chronicle of the Clacks,Supreme Archchancellor Theresa Houston,Sherry Shaw,year -058 in the 12th month,0,The 11th year after Howondaland Expedition,year 0637 in the 7th month,Dungeon Dimensions: bottom shelve. 5m from the end,Process year challenge as positive happy usually newspaper.
Spectacular Narrative of the Agatean Empire,Supreme Archchancellor Michael Walker,,,1,The 7th year after Talking Dog,year 0788 in the 8th month,Great Hall: bottom shelve. 5m from the end,Unit miss training moment.
Unbelievable Recital of the Hogfather,Chief Scrivener Megan Morton,,,7,The 14th year after Librarian's Wrath,year 0097 in the 3rd month,Dungeon Dimensions: middle shelve. 9m from the end,Political land sell left.
Improbable Furlough of the City Watch,Mastermagician Amy Gutierrez,,,5,The 3rd year after Knurd,unknown,Tower of Art: top shelve. 9m from the end,Walk pay letter nice along together.
